ID,# of record,reaction time (seconds),time indicate,times of day,"stimulate (yes=1, no=0)",fatigue,hunger,"busy=1, light=0","illness(yes=1, no=0)",hour of sleep,"protocol(yes=1, no=0)",MEQ,Note,
1,1,0.437,1,10:14,0,4,4,1,0,6,1,45,,
1,2,0.366,2,15:49,1,3,4,1,0,6,0,45,E3 had tea,
1,3,0.345,3,21:31,0,5,4,1,0,6,1,45,k3 not tested in a quiet place,
1,4,0.415,4,23:31,0,6,3,1,0,6,1,45,,
1,5,0.366,1,11:46,0,2,4,0,0,10,1,45,,
1,6,0.31,2,16:15,1,3,4,0,0,10,1,45,E7 had cocacola,
1,7,0.396,3,21:17,0,3,5,0,0,10,1,45,,
1,8,0.316,4,23:23,0,5,3,0,0,10,1,45,,
2,1,0.433,1,10:25,0,4,3,0,0,8,1,54,,
2,2,0.385,2,14:29,0,6,5,0,0,8,1,54,,
2,3,0.402,3,19:10,0,3,8,0,0,8,1,54,,
2,4,0.386,4,23:26,0,6,4,0,0,8,1,54,,
2,5,0.376,1,10:51,0,2,3,1,0,10,1,54,,
2,6,0.348,2,15:31,0,6,4,1,0,10,1,54,,
2,7,0.359,3,19:48,0,5,9,1,0,10,1,54,,
2,8,0.379,4,22:10,0,6,3,1,0,10,1,54,,
3,1,0.376,1,8:40,0,2,4,0,0,7.5,1,48,,
3,2,0.378,2,12:53,0,3,7,0,0,7.5,1,48,,
3,3,0.357,3,17:48,0,4,5,0,0,9.5,1,48,,
3,4,0.355,4,23:03,0,6,4,0,0,9.5,1,48,,
3,5,0.384,1,9:31,0,3,4,1,0,8,1,48,,
3,6,0.363,2,13:21,0,2,6,1,0,10,1,48,,
3,7,0.365,3,18:35,0,3,8,1,0,10,1,48,,
3,8,0.343,4,23:09,0,4,5,1,0,10,1,48,,
4,1,0.373,1,8:53,0,3,3,0,0,7.5,1,44,,
4,2,0.357,2,13:27,0,2,4,0,0,7.5,1,44,,
4,3,0.47,3,18:43,0,4,5,0,0,7.5,1,44,,
4,4,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,,
4,5,0.375,1,10:06,0,3,4,1,0,8,1,44,,
4,6,0.34,2,15:02,0,2,5,1,0,8,1,44,,
4,7,0.375,3,19:21,0,3,4,1,0,8,1,44,,
4,8,0.36,4,0:00,0,2,5,1,0,8,1,44,,
5,1,0.394,1,0:32,0,3,3,0,0,10,1,34,,
5,2,0.358,2,17:15,0,2,4,0,0,10,1,34,,
5,3,0.388,3,22:54,0,1,5,0,0,10,1,34,,
5,4,0.470 ,4,1:30,0,6,7,0,0,10,1,34,,
5,5,0.364,1,12:30,0,3,3,1,0,12,1,34,,
5,6,0.344,2,16:50,1,4,2,1,0,12,1,34,,
5,7,0.352,3,21:01,0,3,5,1,0,12,1,34,,
5,8,0.374,4,0:46,0,5,7,1,0,12,1,34,,
6,1,0.41,1,10:43,0,3,5,0,0,7,1,34,,
